price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
17950,e49f9cfa-44cf-43bd-9604-57fd169a08a0,b,t-roc,64678,08-2019,nl,1713 GC,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-benzine-grijs-e49f9cfa-44cf-43bd-9604-57fd169a08a0
17500,dbe9fc52-36bc-45be-a18f-12edb4cd09df,b,t-roc,118304,11-2018,nl,2988 BJ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-dealer-oh-carplay-navigatie-benzine-zwart-dbe9fc52-36bc-45be-a18f-12edb4cd09df
20049,7603860f-391c-445f-945d-7a81a8ce9b14,b,t-roc,98890,06-2019,nl,1101 BA,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-150pk-gc33546-navi-digital-das-benzine-grijs-7603860f-391c-445f-945d-7a81a8ce9b14
38950,a28fee6b-3734-4dbe-b5e6-55a9cc35265b,b,t-roc,20000,12-2022,nl,1018 GH,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-3x-r-line-pano-massage-beats-bd-benzine-zwart-a28fee6b-3734-4dbe-b5e6-55a9cc35265b
24900,31c8ffa2-8596-4bec-8d41-bd1d4e27be82,b,t-roc,75732,10-2020,nl,4905 BJ,Automatisch,111 kW (151 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-dsg-carplay-adaptive-cruise-co-benzine-grijs-31c8ffa2-8596-4bec-8d41-bd1d4e27be82
23750,0fa18bf5-651b-4283-9f61-119b2340bd79,b,t-roc,48369,10-2018,nl,8091 CM,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-benzine-grijs-0fa18bf5-651b-4283-9f61-119b2340bd79
24445,200cb3bd-a9a5-45b7-acda-052fc1279e54,b,t-roc,24456,06-2021,nl,5025 VJ,Handgeschakeld,82 kW (111 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-benzine-zwart-200cb3bd-a9a5-45b7-acda-052fc1279e54
27950,7c6db82d-d9c2-4247-95ed-d41753639803,b,t-roc,40970,12-2019,nl,3161 GJ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-business-2x-r-line-dsg-navi-cam-virt-benzine-wit-7c6db82d-d9c2-4247-95ed-d41753639803
20400,f55b5788-00ce-4d05-866a-703d69d46687,b,t-roc,141322,11-2019,nl,2394 CG,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-150pk-1ste-eigenaar-volkswagen-d-benzine-zwart-f55b5788-00ce-4d05-866a-703d69d46687
31995,5649c6ee-71d5-46da-896f-e871db4cea98,b,t-roc,10384,05-2022,nl,7447 JK,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150-pk-2x-r-line-dig-cockpit-adapt-c-benzine-zwart-5649c6ee-71d5-46da-896f-e871db4cea98
26995,6e359672-fd1d-49a8-b531-051fe384ad26,b,t-roc,101997,05-2019,nl,5764 PP,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-sport-business-r-line-100-dealer-benzine-zwart-6e359672-fd1d-49a8-b531-051fe384ad26
